epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,591.833,2.60165,2.16867,1.52938,0.19227,0.12477,0.06949,0.02298,2.92121,2.57936,1.65292,0.0014588,0.0014588,0.0014588
43,721.96,2.55838,2.14737,1.50761,0.18748,0.13068,0.07007,0.02542,2.8365,2.60132,1.6876,0.0014456,0.0014456,0.0014456
44,845.366,2.5771,2.15866,1.51653,0.17754,0.13031,0.06589,0.02203,2.81788,2.63021,1.66094,0.0014324,0.0014324,0.0014324
45,985.582,2.53226,2.13702,1.51338,0.19443,0.1148,0.06666,0.02421,2.83404,2.56483,1.65483,0.0014192,0.0014192,0.0014192
46,1127.67,2.54375,2.14643,1.50963,0.18695,0.11591,0.06502,0.02309,2.88895,2.63464,1.65408,0.001406,0.001406,0.001406
47,1278.4,2.52769,2.12929,1.50081,0.1824,0.13511,0.07205,0.02566,2.84423,2.55862,1.67075,0.0013928,0.0013928,0.0013928
48,1427.23,2.54414,2.13618,1.50431,0.20605,0.12255,0.0744,0.02719,2.84891,2.54772,1.66546,0.0013796,0.0013796,0.0013796
49,1566.48,2.52646,2.13127,1.49979,0.18784,0.11517,0.06012,0.0198,2.93634,2.55994,1.66478,0.0013664,0.0013664,0.0013664
50,1696.68,2.52384,2.10998,1.49861,0.15349,0.12366,0.05576,0.01835,2.91563,2.66501,1.67455,0.0013532,0.0013532,0.0013532
51,1824.88,2.5067,2.12563,1.49655,0.18674,0.12735,0.06634,0.02359,2.82782,2.56156,1.63141,0.00134,0.00134,0.00134
52,2031.6,2.52273,2.11866,1.48312,0.20165,0.11814,0.06419,0.02048,2.84356,2.49195,1.66947,0.0013268,0.0013268,0.0013268
53,2179.29,2.52477,2.12444,1.49199,0.20575,0.12661,0.06794,0.02329,2.89013,2.50336,1.66547,0.0013136,0.0013136,0.0013136
