method,tau,precision,recall,f1,iou,count_mae,ms_per_tile
U-Net (semantic),0.4,0.8359013030133678,0.998473094757739,0.9099832198823969,0.8348341396124472,4.4375,12.657541665248573
Mask R-CNN (instance),0.1,0.8401416523841317,0.08504138384260802,0.15444902439354177,0.08368721678018062,43.5625,900.1063229079591
YOLOv8 (detection),0.1,0.8815889013617053,0.9961281635316651,0.9353651295548299,0.8785783337150214,10.9375,9.289302019169554
Classical (thr+morph),0.5,0.9029285763840672,0.23924617526896022,0.3782647233957184,0.2332468987146815,39.0625,1.211237075040117
