method,regime,tau,n,precision,recall,f1,iou,mcc,count_mae,ms_per_tile
U-Net (semantic),fair(1-20%),0.4,148,0.09288036266671774,0.891127651028892,0.16822679932237558,0.09183822508529185,-0.01392974193842852,22.70945945945946,13.127076301119617
U-Net (semantic),dense(>=20%),0.4,270,0.6015313374823087,0.9932269305783239,0.7492760947728462,0.5990739382150596,0.03923783716949015,22.066666666666666,13.072709692642093
Mask R-CNN (instance),fair(1-20%),0.05,148,0.1614435571496085,0.49498056906218174,0.24347497441559843,0.13861173128285906,0.14668553044348226,172.47972972972974,923.4868532701119
Mask R-CNN (instance),dense(>=20%),0.05,270,0.4167723800154758,0.12909577199899752,0.19713021120149815,0.10934245658056728,-0.17820761007367283,78.65555555555555,921.5250752702424
YOLOv8 (detection),fair(1-20%),0.1,148,0.14189107426591377,0.4324557400336411,0.21367441375584353,0.11961672374722944,0.1035956738345129,32.28378378378378,9.66269030971956
YOLOv8 (detection),dense(>=20%),0.1,270,0.6536534206921395,0.9368513846568265,0.7700399392904986,0.6260690608389025,0.2727063367035741,41.111111111111114,10.615886515868759
Classical (thr+morph),fair(1-20%),0.5,148,0.16588190451474746,0.11192570388585912,0.1336640775592768,0.07161844578336872,0.06392585187964762,14.952702702702704,0.9273136635562657
Classical (thr+morph),dense(>=20%),0.5,270,0.6605854871759549,0.23141246693037848,0.342753514917129,0.20682108453149928,0.06417804813783372,33.85925925925926,1.2579049475284085
