run,map50,map50_95,precision,recall
impact_crater_random__own_val,0.12174920297875941,0.042827761033526826,0.2167042187518884,0.222429832233442
impact_crater_spatial__own_val,0.10607952335353225,0.03649698819138188,0.2060327649882893,0.2012936103488828
impact_crater_random__spatial_val,0.12885688598616168,0.04424757060274727,0.22804077838283138,0.2189827518620149
wrinkle_ridge_random__own_val,0.14572092556069205,0.0598880850947639,0.2965947226058842,0.19122085048010973
wrinkle_ridge_spatial__own_val,0.07712964245056884,0.02760364310145465,0.20289826159050517,0.12993724621631597
wrinkle_ridge_random__spatial_val,0.11708562852613386,0.04787161173696651,0.27759904793143025,0.16168327796234774
